gene_symbol	subtype
ANXA8L2	Basal
AREG	Basal
CST6	Basal
CTSL2	Basal
DHRS9	Basal
FAM83A	Basal
FGFBP1	Basal
GPR87	Basal
KRT15	Basal
KRT17	Basal
KRT6A	Basal
KRT6C	Basal
KRT7	Basal
LEMD1	Basal
LY6D	Basal
S100A2	Basal
SCEL	Basal
SERPINB3	Basal
SERPINB4	Basal
SLC2A1	Basal
SPRR1B	Basal
SPRR3	Basal
TNS4	Basal
UCA1	Basal
VGLL1	Basal
AGR2	Classical
AGR3	Classical
ANXA10	Classical
ATAD4	Classical
BTNL8	Classical
CDH17	Classical
CEACAM6	Classical
CLRN3	Classical
CTSE	Classical
CYP3A7	Classical
FAM3D	Classical
KRT20	Classical
LGALS4	Classical
LOC400573	Classical
LYZ	Classical
MYO1A	Classical
PLA2G10	Classical
REG4	Classical
SPINK4	Classical
ST6GALNAC1	Classical
TFF1	Classical
TFF2	Classical
TFF3	Classical
TSPAN8	Classical
VSIG2	Classical
ABCA8	Normal
ACTG2	Normal
ADAMTS1	Normal
ANGPTL7	Normal
C10orf116	Normal
C2orf40	Normal
CDH19	Normal
DES	Normal
FABP4	Normal
GPM6B	Normal
ID4	Normal
IGF1	Normal
LMOD1	Normal
LPHN3	Normal
MEOX2	Normal
MYH11	Normal
OGN	Normal
PLP1	Normal
PTX3	Normal
RBPMS2	Normal
RERGL	Normal
RSPO3	Normal
SCRG1	Normal
SYNM	Normal
VIT	Normal
CDH11	Activated
COL10A1	Activated
COL11A1	Activated
COL1A1	Activated
COL1A2	Activated
COL3A1	Activated
COL5A1	Activated
COL5A2	Activated
COMP	Activated
CTHRC1	Activated
FAP	Activated
FN1	Activated
FNDC1	Activated
GREM1	Activated
INHBA	Activated
ITGA11	Activated
LUM	Activated
MMP11	Activated
POSTN	Activated
SFRP2	Activated
SPARC	Activated
SULF1	Activated
THBS2	Activated
VCAN	Activated
ZNF469	Activated
